Year,Brand,Q1,Q2,Q3,Q4
2022,Samsung,20%,18%,19%,20%
2022,vivo,15%,17%,14%,18%
2022,Xiaomi,23%,19%,21%,18%
2022,OPPO,9%,11%,10%,11%
2022,realme,16%,16%,14%,8%
2022,Others,17%,19%,22%,25%
2021,Samsung,26%,28%,17%,16%
2021,vivo,20%,18%,23%,13%
2021,Xiaomi,16%,15%,15%,21%
2021,OPPO,11%,15%,10%,9%
2021,realme,11%,10%,15%,17%
2021,Others,16%,14%,20%,24%
2020,Samsung,31%,29%,23%,26%
2020,vivo,16%,26%,15%,20%
2020,Xiaomi,17%,17%,24%,11%
2020,OPPO,14%,11%,16%,15%
2020,realme,12%,9%,10%,10%
2020,Others,10%,8%,12%,18%
2019,Samsung,29%,25%,26%,27%
2019,vivo,23%,28%,20%,18%
2019,Xiaomi,12%,11%,17%,21%
2019,OPPO,7%,9%,16%,8%
2019,realme,7%,8%,8%,12%
2019,Others,22%,19%,13%,14%
2018,Samsung,31%,28%,27%,27%
2018,vivo,26%,28%,23%,10%
2018,Xiaomi,6%,12%,10%,20%
2018,OPPO,–,1%,3%,7%
2018,realme,6%,9%,8%,8%
2018,Others,31%,22%,29%,28%
2017,Samsung,13%,23%,22%,25%
2017,vivo,27%,16%,23%,23%
2017,Xiaomi,12%,13%,9%,6%
2017,OPPO,10%,10%,6%,6%
2017,realme,1%,1%,8%,5%
2017,Others,37%,37%,32%,35%
